epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,773.479,0.86514,0.8628,1.21574,0.74258,0.76274,0.75399,0.50642,1.19751,0.97406,1.61227,0.000495125,0.000495125,0.000495125
63,785.661,0.84408,0.8342,1.21054,0.68672,0.75922,0.74021,0.48682,1.20164,1.06187,1.572,0.00048275,0.00048275,0.00048275
64,797.484,0.84506,0.82364,1.17828,0.79047,0.64944,0.74525,0.4673,1.27567,1.13355,1.63158,0.000470375,0.000470375,0.000470375
65,809.668,0.87227,0.82755,1.21578,0.85191,0.66232,0.76075,0.4971,1.23951,1.0301,1.59188,0.000458,0.000458,0.000458
66,821.446,0.81172,0.78991,1.19945,0.87787,0.63191,0.77567,0.50683,1.25502,1.06309,1.59725,0.000445625,0.000445625,0.000445625
67,833.396,0.86042,0.82395,1.21707,0.84543,0.6917,0.81135,0.53544,1.25197,0.94248,1.60851,0.00043325,0.00043325,0.00043325
68,845.147,0.79325,0.77406,1.16909,0.8203,0.70806,0.78405,0.54053,1.24163,0.93277,1.6226,0.000420875,0.000420875,0.000420875
69,857.174,0.81911,0.79234,1.17849,0.70147,0.72592,0.8028,0.53736,1.23294,1.0027,1.61071,0.0004085,0.0004085,0.0004085
70,868.946,0.80479,0.79113,1.18696,0.70794,0.74633,0.77884,0.53903,1.2242,0.99397,1.61038,0.000396125,0.000396125,0.000396125
71,881.038,0.7964,0.76715,1.16862,0.74516,0.77596,0.80158,0.54909,1.16837,0.92463,1.55505,0.00038375,0.00038375,0.00038375
72,892.599,0.80574,0.77044,1.17694,0.84622,0.66534,0.78556,0.54178,1.17666,0.9252,1.57454,0.000371375,0.000371375,0.000371375
73,904.641,0.83809,0.73385,1.19839,0.80962,0.70408,0.80302,0.54088,1.20181,0.97014,1.59902,0.000359,0.000359,0.000359
74,916.354,0.79239,0.75896,1.19388,0.80913,0.71805,0.80808,0.52442,1.25617,0.9899,1.62134,0.000346625,0.000346625,0.000346625
75,928.036,0.84454,0.80658,1.19577,0.85628,0.6638,0.78661,0.51061,1.24059,1.02853,1.59995,0.00033425,0.00033425,0.00033425
76,939.404,0.79614,0.74967,1.1739,0.7907,0.71285,0.78369,0.5187,1.21838,1.01211,1.61099,0.000321875,0.000321875,0.000321875
77,951.692,0.83427,0.73824,1.18657,0.73506,0.75559,0.76136,0.5198,1.18778,0.96959,1.57259,0.0003095,0.0003095,0.0003095
78,963.968,0.7653,0.69721,1.15193,0.85882,0.68595,0.79835,0.5464,1.14704,0.96479,1.52401,0.000297125,0.000297125,0.000297125
79,975.879,0.77204,0.74309,1.17469,0.7843,0.7676,0.81296,0.55023,1.15148,0.95837,1.52953,0.00028475,0.00028475,0.00028475
80,987.664,0.76419,0.71431,1.1454,0.92124,0.66429,0.80721,0.55337,1.15985,0.97966,1.55551,0.000272375,0.000272375,0.000272375
81,999.868,0.74015,0.68972,1.14892,0.80212,0.69975,0.7925,0.53902,1.15517,0.96914,1.55553,0.00026,0.00026,0.00026
82,1012.26,0.74223,0.69999,1.14013,0.72898,0.76985,0.80713,0.52483,1.19837,0.9549,1.59903,0.000247625,0.000247625,0.000247625
83,1024.03,0.76852,0.72142,1.16294,0.76062,0.72532,0.79635,0.52175,1.24088,0.97152,1.62097,0.00023525,0.00023525,0.00023525
84,1035.77,0.7421,0.66793,1.13711,0.852,0.65649,0.78367,0.51836,1.25006,1.00884,1.62905,0.000222875,0.000222875,0.000222875
85,1047.75,0.77667,0.70246,1.15374,0.75298,0.72602,0.77815,0.52065,1.23092,1.01195,1.63435,0.0002105,0.0002105,0.0002105
86,1059.85,0.68852,0.6358,1.1224,0.75242,0.70764,0.76285,0.50901,1.21343,1.03525,1.60528,0.000198125,0.000198125,0.000198125
87,1071.75,0.72937,0.67682,1.13533,0.78294,0.68988,0.78226,0.52821,1.19178,1.01701,1.57021,0.00018575,0.00018575,0.00018575
88,1083.81,0.7144,0.66013,1.14169,0.86599,0.68118,0.82343,0.5578,1.16471,0.93239,1.52207,0.000173375,0.000173375,0.000173375
89,1096.31,0.72334,0.65952,1.1354,0.80745,0.74324,0.81751,0.55597,1.18558,0.91605,1.55231,0.000161,0.000161,0.000161
90,1108.15,0.68889,0.63572,1.12811,0.7779,0.74492,0.81225,0.5522,1.1761,0.92678,1.56531,0.000148625,0.000148625,0.000148625
91,1121.2,0.66193,0.7031,1.10579,0.77387,0.75686,0.79935,0.54008,1.1743,0.96082,1.57023,0.00013625,0.00013625,0.00013625
92,1132.59,0.63374,0.59102,1.06943,0.76677,0.75154,0.7999,0.52667,1.21287,0.97329,1.61827,0.000123875,0.000123875,0.000123875
93,1144.69,0.63304,0.56447,1.08332,0.82476,0.71151,0.79995,0.52792,1.21897,0.97823,1.63583,0.0001115,0.0001115,0.0001115
94,1156.15,0.62543,0.54955,1.06877,0.75506,0.75993,0.81203,0.53868,1.20902,0.93217,1.6202,9.9125e-05,9.9125e-05,9.9125e-05
95,1167.99,0.60007,0.52321,1.06075,0.74984,0.80147,0.83186,0.54894,1.19603,0.904,1.61953,8.675e-05,8.675e-05,8.675e-05
96,1179.5,0.58583,0.53123,1.06461,0.83718,0.73862,0.84081,0.55207,1.18216,0.89827,1.58788,7.4375e-05,7.4375e-05,7.4375e-05
97,1191.24,0.5823,0.51071,1.03492,0.8521,0.73686,0.83672,0.54937,1.18442,0.92421,1.59024,6.2e-05,6.2e-05,6.2e-05
98,1202.57,0.57872,0.50101,1.03169,0.85921,0.73624,0.81489,0.5392,1.18276,0.93309,1.59522,4.9625e-05,4.9625e-05,4.9625e-05
99,1213.98,0.56181,0.49214,1.02793,0.83094,0.74614,0.81263,0.53781,1.1935,0.93851,1.60118,3.725e-05,3.725e-05,3.725e-05
100,1225.53,0.57316,0.49831,1.04267,0.85657,0.74226,0.81885,0.54073,1.20037,0.91253,1.61644,2.4875e-05,2.4875e-05,2.4875e-05
